BestsellerChildren,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2020,Children'sBooks,3,School Zone - Big Preschool Workbook - Ages 4・,School Zone,2018,School Zone Publishing,320,12.99,2,1,3,1,1,139700000,2019_09,0
2020,Children'sBooks,3,If Animals Kissed Good Night,Ann Whitford Paul,2014,Farrar Straus and Giroux ,34,7.99,1,1,4,1,1,15620,2019_24,1
2020,Children'sBooks,3,The Very Hungry Caterpillar,Eric Carle,1981,World of Eric Carle ,32,21.99,0,0,8,1,1,138600,2019_16,1
2020,Children'sBooks,3,Giraffes Can't Dance,Giles Andreae,2012,Cartwheel Books,32,16.99,0,1,7,1,1,5403.86,2019_23,1
2020,Children'sBooks,3,Brown Bear Brown Bear What Do You See?,Bill Martin Jr. and Eric Carle,2020,Henry Holt and Co. (BYR),24,8.99,0,0,6,1,1,7037.9287,2019_48,1
2020,Children'sBooks,3,I Am Confident Brave & Beautiful: A Coloring・,Hopscotch Girls,2017,Hopscotch Girls,24,9.5,2,1,2(2019),2,1,26620,2019_19,0
2020,Children'sBooks,3,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,2012,Little Simon ,36,7.99,0,0,4,1,1,312963.9663,,1
2020,Children'sBooks,3,The Wonky Donkey,Craig Smith,2010,Scholastic Paperbacks,24,7.99,0,1,3,1,1,21450000,2019_12,1
2020,Children'sBooks,3,Goodnight Moon,Margaret Wise Brown,2005,HarperCollins,32,18.99,1,0,6,1,1,236584.1463,2019_34,1
2020,Children'sBooks,3,What Should Danny Do? (The Power to Choose・,"Adir Levy , Ganit Levy",2020,Elon Books,68,21.99,0,0,2(2019),2,1,330000,2019_17,0
2020,Children'sBooks,3,Oh the Places You'll Go!??,Dr. Seuss,1990,Random House Books for Young Readers ,56,18.99,0,0,10,1,1,5299800,2019_25,1
2020,Children'sBooks,3,Carson Dellosa | First Words Flash Cards |・,Carson-Dellosa Publishing (Compiler,2004,Carson Dellosa Education,102,3.99,2,1,2(2019),2,1,277.00772,2019_57,0
2020,Children'sBooks,3,The Pout-Pout Fish,Deborah Diesen,2013,Farrar Straus and Giroux ,34,7.99,1,1,4,1,1,114000,2019_67,1
2020,Children'sBooks,3,The Wonderful Things You Will Be,Emily Winfield Martin,2015,Random House Books for Young Readers,36,17.99,1,1,5,1,1,20300,2019_08,1
2020,Children'sBooks,3,Dog Man: Fetch-22: From the Creator of Captain・,Dav Pilkey,2019,Graphix,240,12.99,0,0,2(2019),2,1,48800,2019_06,1
2020,Children'sBooks,3,Love You Forever,Robert Munsch,1995,Firefly Books ,32,4.99,0,1,8,1,1,13109.5514,2019_82,0
2020,Children'sBooks,3,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,2014,Random House Books for Young Readers,12,5.68,1,1,4,1,1,1317.39718,2019_46,1
2020,Children'sBooks,3,There's No Place Like Space: All About Our Solar・,Tish Rabe,1999,Random House Books for Young Readers,48,9.99,1,1,2(2019),2,1,3890,2019_95,1
2020,Children'sBooks,3,The Care and Keeping of You: The Body Book for・,Valorie Schaefer,2012,American Girl,104,12.99,1,1,8,1,1,2830,2019_94,0
2019,Children'sBooks,3,Dog Man: For Whom the Ball Rolls: From the・,Dav Pilkey,2019,Graphix,240,12.99,0,0,1,0,0,39800,2019_04,1
2019,Children'sBooks,3,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,2019,Harry N. Abrams,224,14.99,0,0,1,0,0,1.08E+05,2019_07,1
2019,Children'sBooks,3,Difficult Riddles For Smart Kids: 300 Difficult・,M Prefontaine,2017,CreateSpace Independent Publishing Platform,79,5.48,0,1,1,0,0,16588.253,2019_14,0
2019,Children'sBooks,3,Dog Man: Brawl of the Wild: From the Creator of・,Dav Pilkey,2018,Graphix,224,24.99,0,0,2,0,1,30129,2019_22,1
2019,Children'sBooks,3,Guts,Raina Telgemeier,2019,Graphix,224,12.99,1,1,1,0,0,19100,2019_27,1
2019,Children'sBooks,3,National Geographic Little Kids First Big Book of・,Elizabeth Carney,2015,National Geographic Kids,128,14.95,1,1,1,0,0,56807.08,2019_30,1
2019,Children'sBooks,3,Unicorn Coloring Book: For Kids Ages 4-8 (US・,Silly Bear,2018,On The Hop Books Ltd,102,4.99,2,1,1,0,0,1470000,2019_36,0
2019,Children'sBooks,3,5000 Awesome Facts (About Everything!)・,National Geographic Kids,2014,National Geographic Kids,224,14.77,2,1,1,0,0,34800000,2019_40,1
2019,Children'sBooks,3,National Geographic Kids Why?: Over 1111・,Crispin Boyer ,2020,National Geographic Kids,192,19.99,0,0,1,0,0,10100,2019_43,1
2019,Children'sBooks,3,Super Deluxe Essential Handbook (Pok?mon):・,Scholastic,2018,Scholastic Inc.,496,14.99,2,0,1,0,0,9427000,2019_55,1
2019,Children'sBooks,3,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2007,Little Simon,18,14.99,0,1,6,1,1,227601,2019_69,1
2019,Children'sBooks,3,Dragons Love Tacos,Adam Rubin,2012,Dial Books,40,18.99,0,1,5,1,1,126498.24,2019_85,1
2019,Children'sBooks,3,Magic Tree House Boxed Set Books 1-4:・,Mary Pope Osborne,2001,Random House Books for Young Readers,80,23.96,1,1,1,0,0,39380,2019_89,1
2019,Children'sBooks,3,How to Draw 101 Animals,Dan Green,2003,Imagine That,48,14.98,0,1,1,0,0,712800000,2019_96,0
2019,Children'sBooks,3,Unicorn Activity Book for Kids Ages 4-8: A Fun・,Modern Kid Press,2019,Modern Kid Press ,85,5.99,2,1,1,0,0,710396,2019_97,0
2019,Children'sBooks,3,The Try Not to Laugh Challenge - Would Your・,Crazy Corey,2019,Try Not to Laugh Challenge Group,78,6.99,2,1,1,0,0,165480.8,2019_100,0
2018,Children'sBooks,3,Last Week Tonight with John Oliver Presents A・,Jill Twiss,2018,Chronicle Books,40,18.99,1,1,1,0,0,0,,0
2018,Children'sBooks,3,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,2018,Amulet Books,224,14.99,0,0,1,0,0,1.08E+05,,1
2018,Children'sBooks,3,First 100 Words,Roger Priddy,2011,Priddy Books US,24,5.99,0,0,5,1,1,10560,,0
2018,Children'sBooks,3,Dog Man: Lord of the Fleas: From the Creator of・,Dav Pilkey,2018,Graphix,256,9.99,0,0,1,0,0,23893.9,,1
2018,Children'sBooks,3,Dog Man and Cat Kid: From the Creator of・,Dav Pilkey,2020,Graphix ,176,12.99,0,0,1,0,0,14140.3,,1
2018,Children'sBooks,3,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,2007,Square Fish,256,6.99,1,1,1,0,0,17741.1907,,1
2018,Children'sBooks,3,Wonder,R. J. Palacio,2012,Knopf Books for Young Readers,320,16.99,1,1,7,1,1,68700,,1
2018,Children'sBooks,3,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2010,Revell ,128,4.99,0,0,6,1,1,1037000,,0
2018,Children'sBooks,3,Where Do Diggers Sleep at Night? (Where・,Brianna Caplan Sayres and Christian Slade ,2020,Random House Books for Young Readers,32,9.99,1,0,1,0,0,177.87,,1
2017,Children'sBooks,3,The Getaway,Jeff Kinney,2017,Harry N. Abrams,224,14.99,0,0,1,0,0,1.12E+05,,1
2017,Children'sBooks,3,The Going-To-Bed Book,Sandra Boynton,1982,Little Simon,14,5.99,1,1,4,1,1,25155.9,,1
2017,Children'sBooks,3,Puppy Birthday to You! (Paw Patrol) (Little・,Golden Books,2015,Golden Books,24,4.99,2,1,2,0,1,76670000,,1
2017,Children'sBooks,3,Dog Man: A Tale of Two Kitties: From the Creator・,Dav Pilkey,2017,Graphix,256,9.99,0,1,1,0,0,31702,,1
2017,Children'sBooks,3,She Persisted: 13 American Women Who・,Chelsea Clinton,2017,Philomel Books,32,10.99,1,1,1,0,0,223608,,1
2017,Children'sBooks,3,Where Is Baby's Belly Button? A Lift-the-Flap Book,Karen Katz ,2020,Little Simon,14,5.99,1,0,2,0,1,150000,,1
2017,Children'sBooks,3,The Trials of Apollo Book Two The Dark・,Rick Riordan,2018,Disney-Hyperion,464,9.99,0,0,1,0,0,3.49E+05,,0
2017,Children'sBooks,3,Dog Man Unleashed: From the Creator of・,Dav Pilkey,2020,Scholastic Children's Books ,224,9.99,0,1,1,0,0,40500,,1
2017,Children'sBooks,3,Magnus Chase and the Gods of Asgard Book 3・,Rick Riordan,2019,Disney-Hyperion,464,9.99,0,0,1,0,0,2.53E+05,,0
2017,Children'sBooks,3,Rosie Revere Engineer,Andrea Beaty,2013,Harry N. Abrams,32,16.15,1,1,1,0,0,17968.5,,1
2016,Children'sBooks,3,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,2016,Harry N. Abrams,224,14.99,0,0,1,0,0,1.06E+05,,1
2016,Children'sBooks,3,Fantastic Beasts and Where to Find Them: The・,J.K. Rowling,2017,Arthur A. Levine Books,160,9.99,1,1,1,0,0,10200000,,1
2016,Children'sBooks,3,The Trials of Apollo Book 1: The Hidden Oracle・,Rick Riordan,2019,Disney-Hyperion,286,9.99,0,0,1,0,0,1.20E+05,,0
2016,Children'sBooks,3,Knock-Knock Jokes for Kids,Rob Elliott,2013,Revell ,128,4.99,0,1,4,1,1,86328.16753,,0
2016,Children'sBooks,3,First 100 Animals,Roger Priddy,2011,Priddy Books US,24,5.99,0,1,1,0,0,8198.96,,0
2016,Children'sBooks,3,Potty (Leslie Patricelli board books),Leslie Patricelli,2010,Candlewick,28,7.99,1,1,2,0,1,7450,,0
2016,Children'sBooks,3,First 100 Padded: Numbers Colors Shapes,Roger Priddy,2011,Priddy Books US,24,5.99,0,1,1,0,0,10635.9,,0
2016,Children'sBooks,3,The Book with No Pictures,B. J. Novak,2014,Dial Books,48,17.99,0,1,3,1,1,66416.9,,1
2016,Children'sBooks,3,Magnus Chase and the Gods of Asgard Book 2・,Rick Riordan,2018,Disney-Hyperion,496,9.99,0,0,1,0,0,1.02E+05,,0
2016,Children'sBooks,3,The Everything Kids' Science Experiments Book:・,Tom Robinson,2001,Everything,144,7.99,0,1,3,1,1,14100000,,0
2016,Children'sBooks,3,Little Blue Truck board book,Alice Schertle,2020,HMH Books for Young Readers ,30,8.99,1,0,2,0,1,2076.36,,1
2016,Children'sBooks,3,The Day the Crayons Quit,Drew Daywalt,2013,Philomel Books,40,17.99,0,0,4,1,1,3117.94736,,1
2015,Children'sBooks,3,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,2015,Harry N. Abrams,224,14.99,0,0,1,0,0,9.68E+04,,1
2015,Children'sBooks,3,Baby Touch and Feel: Animals,DK,2008,DK Children,14,4.95,2,0,1,0,0,64843561.5,,1
2015,Children'sBooks,3,What Pet Should I Get? (Classic Seuss),Dr. Seuss,2020,Random House Books for Young Readers,48,17.99,0,0,1,0,0,535447.2654,,1
2015,Children'sBooks,3,Diary of a Minecraft Zombie Book 1: A Scare of A・,Zack Zombie,2015,Zack Zombie Publishing ,90,5.92,2,1,1,0,0,12009.4214,,0
2015,Children'sBooks,3,The Day the Crayons Came Home,Drew Daywalt,2015,Philomel Books,48,18.99,0,1,1,0,0,4348.377,,1
2015,Children'sBooks,3,Magnus Chase and the Gods of Asgard Book 1:・,Rick Riordan,2019,Disney-Hyperion,512,29.97,0,0,1,0,0,3.47E+04,,0
2015,Children'sBooks,3,Ultimate Sticker Book: Frozen: More Than 60・,DK,2013,DK Children,16,6.99,2,0,2,0,1,164272020,,1
2015,Children'sBooks,3,Guess How Much I Love You,Sam McBratney,2019,Candlewick,24,8.99,0,1,1,0,0,6615.07,,0
2015,Children'sBooks,3,Little Blue Truck,Alice Schertle,2019,HMH Books for Young Readers,32,17.99,1,1,2,0,1,1395.990068,,0
2015,Children'sBooks,3,Press Here (Interactive Book for Toddlers and・,Herve Tullet,2019,Chronicle Books,46,8.99,0,1,1,0,0,2163.075981,,0
2015,Children'sBooks,3,A Long Walk to Water: Based on a True Story,Linda Sue Park,2011,HMH Books for Young Readers,128,8.99,1,1,1,0,0,258000,,1
2014,Children'sBooks,3,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,2014,Amulet Books,224,14.99,0,0,1,0,0,6.23E+04,,1
2014,Children'sBooks,3,The Blood of Olympus (The Heroes of Olympus 5),Rick Riordan,2019,Disney-Hyperion,544,9.99,0,0,1,0,0,1.28E+05,,0
2014,Children'sBooks,3,Rush Revere and the First Patriots: Time-Travel・,Rush Limbaugh,2014,Threshold Editions,256,21,0,1,1,0,0,234000,,1
2014,Children'sBooks,3,JOURNEY TO THE ICE P,RH Disney,2013,Golden/Disney,224,7.11,2,1,1,0,0,82136.01,,0
2014,Children'sBooks,3,Rush Revere and the Brave Pilgrims: Time-Travel・,Rush Limbaugh,2017,Threshold Editions,12,21,0,1,2,0,1,70569.62,,1
2014,Children'sBooks,3,Rush Revere and the American Revolution: Time・,Rush Limbaugh,2017,Threshold Editions,253,13.99,2,1,1,0,0,66177.32,,1
2014,Children'sBooks,3,Goodnight Goodnight Construction Site・,Sherri Duskey Rinker,2017,Chronicle Books,30,7.99,1,1,3,1,1,1310.95514,,0
2014,Children'sBooks,3,Minecraft: Redstone Handbook: An Official・,Scholastic,2014,Scholastic Inc. ,80,25,2,1,1,0,0,9042000,,1
2014,Children'sBooks,3,A Day in the Sun (Disney Frozen) (Pictureback(R)),Frank Berrios,2014,RH/Disney,16,3.99,0,1,1,0,0,8321.022017,,0
2013,Children'sBooks,3,Diary of a Wimpy Kid: Hard Luck Book 8,Jeff Kinney,2013,Harry N. Abrams,224,14.99,0,0,1,0,0,6.25E+04,,1
2013,Children'sBooks,3,The House of Hades (Heroes of Olympus Book 4),Rick Riordan,2019,Disney-Hyperion,608,9.99,0,0,1,0,0,9.83E+04,,0
2013,Children'sBooks,3,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,2011,DK Children,200,24.99,0,1,3,1,1,1065.363639,,1
2012,Children'sBooks,3,The Third Wheel (Diary of a Wimpy Kid Book 7),Jeff Kinney,2012,Harry N. Abrams,224,14.99,0,0,1,0,0,4.93E+04,,1
2012,Children'sBooks,3,The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,2019,Disney-Hyperion,672,9.99,0,0,1,0,0,6.63E+04,,0
2012,Children'sBooks,3,LEGO NINJAGO: Character Encyclopedia,DK,2016,DK Children,224,18.99,2,1,1,0,0,69880995.21,,1
2012,Children'sBooks,3,Cabin Fever (Diary of a Wimpy Kid Book 6),Jeff Kinney,2011,Harry N. Abrams,224,14.99,0,0,2,0,1,6.00E+04,,1
2011,Children'sBooks,3,Every Thing On It,Shel Silverstein,2011,HarperCollins,208,7.3,0,1,1,0,0,1.70E+04,,1
2011,Children'sBooks,3,Guinness World Records 2012,Guinness World Records,2011,Guinness World Records ,288,28.95,2,1,1,0,0,2.09E+05,,0
2011,Children'sBooks,3,The Invention of Hugo Cabret,Brian Selznick,2007,Scholastic Press,533,24.99,0,1,1,0,0,13440.30184,,0
