Rank,Year,Title,Genre,Year_Rank,Note,,,,,,,,,,,,,,,,,,,,
200,2019,The Try Not to Laugh Challenge - Would Your…,Children'sBooks,2019_100,,,,,,,,,,,,,,,,,,,,,
201,2018,Becoming,Biographies&Memoirs,2018_01,,,,,,,,,,,,,,,,,,,,,
202,2018,"Girl, Wash Your Face: Stop Believing the Lies…",Business&SelfHelp,2018_02,,,,,,,,,,,,,,,,,,,,,
203,2018,The Wonky Donkey,Children'sBooks,2018_03,,,,,,,,,,,,,,,,,,,,,
204,2018,Fire and Fury: Inside the Trump White House,Politics&SocialSciences,2018_04,,,,,,,,,,,,,,,,,,,,,
205,2018,Fear: Trump in the White House,Politics&SocialSciences,2018_05,,,,,,,,,,,,,,,,,,,,,
206,2018,Last Week Tonight with John Oliver Presents A…,Children'sBooks,2018_06,,,,,,,,,,,,,,,,,,,,,
207,2018,12 Rules for Life: An Antidote to Chaos,Politics&SocialSciences,2018_07,,,,,,,,,,,,,,,,,,,,,
208,2018,Magnolia Table: A Collection of Recipes for…,"Cookbooks,Food&Wine",2018_08,,,,,,,,,,,,,,,,,,,,,
209,2018,Whose Boat Is This Boat?: Comments That Don't…,Politics&SocialSciences,2018_09,,,,,,,,,,,,,,,,,,,,,
210,2018,The Subtle Art of Not Giving a F*ck: A…,Business&SelfHelp,2018_10,,,,,,,,,,,,,,,,,,,,,
211,2018,"A Higher Loyalty: Truth, Lies, and Leadership",Biographies&Memoirs,2018_11,,,,,,,,,,,,,,,,,,,,,
212,2018,The Complete Ketogenic Diet for Beginners: Your…,"Cookbooks,Food&Wine",2018_12,,,,,,,,,,,,,,,,,,,,,
213,2018,The Meltdown (Diary of a Wimpy Kid Book 13),Children'sBooks,2018_13,,,,,,,,,,,,,,,,,,,,,
214,2018,The 5 Love Languages: The Secret to Love that…,Religion&Spirituality,2018_14,,,,,,,,,,,,,,,,,,,,,
215,2018,First 100 Words,Children'sBooks,2018_15,,,,,,,,,,,,,,,,,,,,,
216,2018,Dog Man: Lord of the Fleas: From the Creator of…,Children'sBooks,2018_16,,,,,,,,,,,,,,,,,,,,,
217,2018,Educated: A Memoir,Biographies&Memoirs,2018_17,,,,,,,,,,,,,,,,,,,,,
218,2018,You Are a Badass: How to Stop Doubting Your…,Business&SelfHelp,2018_18,,,,,,,,,,,,,,,,,,,,,
219,2018,The Plant Paradox: The Hidden Dangers in…,HealthFitness&Dieting,2018_19,,,,,,,,,,,,,,,,,,,,,
220,2018,Giraffes Can't Dance,Children'sBooks,2018_20,,,,,,,,,,,,,,,,,,,,,
221,2018,Player's Handbook (Dungeons & Dragons),Literature&Fiction,2018_21,,,,,,,,,,,,,,,,,,,,,
222,2018,Homebody: A Guide to Creating Spaces You…,CraftsHobbies&Home,2018_22,,,,,,,,,,,,,,,,,,,,,
223,2018,The Very Hungry Caterpillar,Children'sBooks,2018_23,,,,,,,,,,,,,,,,,,,,,
224,2018,Crazy Rich Asians (Crazy Rich Asians Trilogy),Literature&Fiction,2018_24,,,,,,,,,,,,,,,,,,,,,
225,2018,The Hate U Give,Teen&Youngadult,2018_25,,,,,,,,,,,,,,,,,,,,,
226,2018,The Instant Pot Electric Pressure Cooker…,"Cookbooks,Food&Wine",2018_26,,,,,,,,,,,,,,,,,,,,,
227,2018,The Four Agreements: A Practical Guide to…,Religion&Spirituality,2018_27,,,,,,,,,,,,,,,,,,,,,
228,2018,The Wonderful Things You Will Be,Children'sBooks,2018_28,,,,,,,,,,,,,,,,,,,,,
229,2018,P is for Potty! (Sesame Street) (Lift-the-Flap),Children'sBooks,2018_29,,,,,,,,,,,,,,,,,,,,,
230,2018,The Pout-Pout Fish,Children'sBooks,2018_30,,,,,,,,,,,,,,,,,,,,,
231,2018,Lettering and Modern Calligraphy: A Beginner's…,Business&SelfHelp,2018_31,,,,,,,,,,,,,,,,,,,,,
232,2018,Publication Manual of the American…,Reference,2018_32,,,,,,,,,,,,,,,,,,,,,
233,2018,Dear Zoo: A Lift-the-Flap Book,Children'sBooks,2018_33,,,,,,,,,,,,,,,,,,,,,
234,2018,"Oh, the Places You'll Go!  ",Children'sBooks,2018_34,,,,,,,,,,,,,,,,,,,,,
235,2018,Dog Man and Cat Kid: From the Creator of…,Children'sBooks,2018_35,,,,,,,,,,,,,,,,,,,,,
236,2018,Goodnight Moon,Children'sBooks,2018_36,,,,,,,,,,,,,,,,,,,,,
237,2018,"Salt, Fat, Acid, Heat: Mastering the Elements of…","Cookbooks,Food&Wine",2018_37,,,,,,,,,,,,,,,,,,,,,
238,2018,A Wrinkle in Time (Time Quintet),Children'sBooks,2018_38,,,,,,,,,,,,,,,,,,,,,
239,2018,How to Win Friends & Influence People,Business&SelfHelp,2018_39,,,,,,,,,,,,,,,,,,,,,
240,2018,Dog Man: Brawl of the Wild: From the Creator of…,Children'sBooks,2018_40,,,,,,,,,,,,,,,,,,,,,
241,2018,Instant Pot Pressure Cooker Cookbook: 500…,"Cookbooks,Food&Wine",2018_41,,,,,,,,,,,,,,,,,,,,,
242,2018,Milk and Honey,Literature&Fiction,2018_42,,,,,,,,,,,,,,,,,,,,,
243,2018,Little Fires Everywhere,Literature&Fiction,2018_43,,,,,,,,,,,,,,,,,,,,,
244,2018,Kitchen Confidential Updated Edition:…,Biographies&Memoirs,2018_44,,,,,,,,,,,,,,,,,,,,,
245,2018,The President Is Missing,Literature&Fiction,2018_45,,,,,,,,,,,,,,,,,,,,,
246,2018,School Zone - Big Preschool Workbook - Ages 4…,Children'sBooks,2018_46,,,,,,,,,,,,,,,,,,,,,
247,2018,The Plant Paradox Cookbook: 100 Delicious…,"Cookbooks,Food&Wine",2018_47,,,,,,,,,,,,,,,,,,,,,
248,2018,Ready Player One,Literature&Fiction,2018_48,,,,,,,,,,,,,,,,,,,,,
249,2018,Fahrenheit 451,Politics&SocialSciences,2018_49,,,,,,,,,,,,,,,,,,,,,
250,2018,Ship of Fools: How a Selfish Ruling Class Is…,Politics&SocialSciences,2018_50,,,,,,,,,,,,,,,,,,,,,
251,2018,"The Alchemist, 25th Anniversary: A Fable About…",Religion&Spirituality,2018_51,,,,,,,,,,,,,,,,,,,,,
252,2018,Wonder,Children'sBooks,2018_52,,,,,,,,,,,,,,,,,,,,,
253,2018,To Kill a Mockingbird,Teen&Youngadult,2018_53,,,,,,,,,,,,,,,,,,,,,
254,2018,The Whole30: The 30-Day Guide to Total Health…,"Cookbooks,Food&Wine",2018_54,,,,,,,,,,,,,,,,,,,,,
255,2018,The Keto Diet: The Complete Guide to a High-Fat…,"Cookbooks,Food&Wine",2018_55,,,,,,,,,,,,,,,,,,,,,
256,2018,"Everybody, Always: Becoming Love in a World…",Religion&Spirituality,2018_56,,,,,,,,,,,,,,,,,,,,,
257,2018,Before We Were Yours,Literature&Fiction,2018_57,,,,,,,,,,,,,,,,,,,,,
258,2018,The Reckoning,Literature&Fiction,2018_58,,,,,,,,,,,,,,,,,,,,,
259,2018,"Brown Bear, Brown Bear, What Do You See?",Children'sBooks,2018_59,,,,,,,,,,,,,,,,,,,,,
260,2018,Beneath a Scarlet Sky,Literature&Fiction,2018_60,,,,,,,,,,,,,,,,,,,,,
261,2018,What to Expect When You're Expecting,Parenting&Relationships,2018_61,,,,,,,,,,,,,,,,,,,,,
262,2018,Principles: Life and Work,Business&SelfHelp,2018_62,,,,,,,,,,,,,,,,,,,,,
263,2018,Astrophysics for People in a Hurry,Science&Math,2018_63,,,,,,,,,,,,,,,,,,,,,
264,2018,Laugh-Out-Loud Jokes for Kids,Children'sBooks,2018_64,,,,,,,,,,,,,,,,,,,,,
265,2018,Medical Medium Liver Rescue: Answers to…,HealthFitness&Dieting,2018_65,,,,,,,,,,,,,,,,,,,,,
266,2018,"The Official SAT Study Guide, 2018 Edition…",Reference,2018_66,,,,,,,,,,,,,,,,,,,,,
267,2018,Calm the F*ck Down: An Irreverent Adult…,Business&SelfHelp,2018_67,,,,,,,,,,,,,,,,,,,,,
268,2018,The Care and Keeping of You: The Body Book for…,Children'sBooks,2018_68,,,,,,,,,,,,,,,,,,,,,
269,2018,The Outsider,Literature&Fiction,2018_69,,,,,,,,,,,,,,,,,,,,,
270,2018,Where the Crawdads Sing,Literature&Fiction,2018_70,,,,,,,,,,,,,,,,,,,,,
271,2018,Dungeons & Dragons Dungeon Master's Guide…,Reference,2018_71,,,,,,,,,,,,,,,,,,,,,
272,2018,Sapiens: A Brief History of Humankind,Politics&SocialSciences,2018_72,,,,,,,,,,,,,,,,,,,,,
273,2018,Love You Forever,Children'sBooks,2018_73,,,,,,,,,,,,,,,,,,,,,
274,2018,Dragons Love Tacos,Children'sBooks,2018_74,,,,,,,,,,,,,,,,,,,,,
275,2018,The Woman in the Window,Literature&Fiction,2018_75,,,,,,,,,,,,,,,,,,,,,
276,2018,Dungeons & Dragons Monster Manual (Core…,Reference,2018_76,,,,,,,,,,,,,,,,,,,,,
277,2018,Simply Keto: A Practical Approach to Health &…,"Cookbooks,Food&Wine",2018_77,,,,,,,,,,,,,,,,,,,,,
278,2018,StrengthsFinder 2.0,Business&SelfHelp,2018_78,,,,,,,,,,,,,,,,,,,,,
279,2018,Extreme Ownership: How U.S. Navy SEALs Lead…,Business&SelfHelp,2018_79,,,,,,,,,,,,,,,,,,,,,
280,2018,The Russia Hoax: The Illicit Scheme to Clear…,Politics&SocialSciences,2018_80,,,,,,,,,,,,,,,,,,,,,
281,2018,How to Draw 101 Animals,Children'sBooks,2018_81,,,,,,,,,,,,,,,,,,,,,
282,2018,The Sun and Her Flowers,Literature&Fiction,2018_82,,,,,,,,,,,,,,,,,,,,,
283,2018,The Life-Changing Magic of Tidying Up: The…,CraftsHobbies&Home,2018_83,,,,,,,,,,,,,,,,,,,,,
284,2018,The Easy 5-Ingredient Ketogenic Diet Cookbook:…,"Cookbooks,Food&Wine",2018_84,,,,,,,,,,,,,,,,,,,,,
285,2018,Where Do Diggers Sleep at Night? (Where…,Children'sBooks,2018_85,,,,,,,,,,,,,,,,,,,,,
286,2018,The 7 Habits of Highly Effective People:…,Business&SelfHelp,2018_86,,,,,,,,,,,,,,,,,,,,,
287,2018,Whiskey in a Teacup: What Growing Up in the…,Biographies&Memoirs,2018_87,,,,,,,,,,,,,,,,,,,,,
288,2018,Man's Search for Meaning (OLD EDITION/OUT…,Biographies&Memoirs,2018_88,,,,,,,,,,,,,,,,,,,,,
289,2018,The Great Alone,Literature&Fiction,2018_89,,,,,,,,,,,,,,,,,,,,,
290,2018,The Total Money Makeover: Classic Edition: A…,Business&SelfHelp,2018_90,,,,,,,,,,,,,,,,,,,,,
291,2018,Cravings: Hungry for More: A Cookbook,"Cookbooks,Food&Wine",2018_91,,,,,,,,,,,,,,,,,,,,,
292,2018,The Handmaid's Tale,Politics&SocialSciences,2018_92,,,,,,,,,,,,,,,,,,,,,
293,2018,The Gifts of Imperfection: Let Go of Who You…,Religion&Spirituality,2018_93,,,,,,,,,,,,,,,,,,,,,
294,2018,The Great Gatsby,Literature&Fiction,2018_94,,,,,,,,,,,,,,,,,,,,,
295,2018,"The Body Keeps the Score: Brain, Mind, and Body…",MedicalBooks,2018_95,,,,,,,,,,,,,,,,,,,,,
296,2018,"Gmorning, Gnight!: Little Pep Talks for Me & You",Literature&Fiction,2018_96,,,,,,,,,,,,,,,,,,,,,
297,2018,Rich Dad Poor Dad: What the Rich Teach Their…,Business&SelfHelp,2018_97,,,,,,,,,,,,,,,,,,,,,
298,2018,Make Your Bed: Little Things That Can Change…,Business&SelfHelp,2018_98,,,,,,,,,,,,,,,,,,,,,
299,2018,Harry Potter Paperback Box Set (Books 1-7),Teen&Youngadult,2018_99,,,,,,,,,,,,,,,,,,,,,
300,2018,Xanathar's Guide to Everything (Dungeons &…,Literature&Fiction,2018_100,,,,,,,,,,,,,,,,,,,,,
301,2017,Wonder,Children'sBooks,2017_01,,,,,,,,,,,,,,,,,,,,,
302,2017,Milk and Honey,Literature&Fiction,2017_02,,,,,,,,,,,,,,,,,,,,,
303,2017,Giraffes Can't Dance,Children'sBooks,2017_03,,,,,,,,,,,,,,,,,,,,,
304,2017,The Subtle Art of Not Giving a F*ck: A…,Business&SelfHelp,2017_04,,,,,,,,,,,,,,,,,,,,,
305,2017,The Getaway,Children'sBooks,2017_05,,,,,,,,,,,,,,,,,,,,,
306,2017,The Instant Pot Electric Pressure Cooker…,"Cookbooks,Food&Wine",2017_06,,,,,,,,,,,,,,,,,,,,,
307,2017,Hillbilly Elegy: A Memoir of a Family and Culture…,Politics&SocialSciences,2017_07,,,,,,,,,,,,,,,,,,,,,
308,2017,Astrophysics for People in a Hurry,Science&Math,2017_08,,,,,,,,,,,,,,,,,,,,,
309,2017,First 100 Words,Children'sBooks,2017_09,,,,,,,,,,,,,,,,,,,,,
310,2017,The Whole30: The 30-Day Guide to Total Health…,"Cookbooks,Food&Wine",2017_10,,,,,,,,,,,,,,,,,,,,,
311,2017,The Handmaid's Tale,Politics&SocialSciences,2017_11,,,,,,,,,,,,,,,,,,,,,
312,2017,The 5 Love Languages: The Secret to Love that…,Religion&Spirituality,2017_12,,,,,,,,,,,,,,,,,,,,,
313,2017,You Are a Badass: How to Stop Doubting Your…,Business&SelfHelp,2017_13,,,,,,,,,,,,,,,,,,,,,
314,2017,What Happened,Politics&SocialSciences,2017_14,,,,,,,,,,,,,,,,,,,,,
315,2017,"Oh, the Places You'll Go!  ",Children'sBooks,2017_15,,,,,,,,,,,,,,,,,,,,,
316,2017,Make Your Bed: Little Things That Can Change…,Business&SelfHelp,2017_16,,,,,,,,,,,,,,,,,,,,,
317,2017,1984 (Signet Classics),Politics&SocialSciences,2017_17,,,,,,,,,,,,,,,,,,,,,
318,2017,How to Win Friends & Influence People,Business&SelfHelp,2017_18,,,,,,,,,,,,,,,,,,,,,
319,2017,Origin (Robert Langdon),Literature&Fiction,2017_19,,,,,,,,,,,,,,,,,,,,,
320,2017,A Man Called Ove,Literature&Fiction,2017_20,,,,,,,,,,,,,,,,,,,,,
321,2017,The Sun and Her Flowers,Literature&Fiction,2017_21,,,,,,,,,,,,,,,,,,,,,
322,2017,Dear Zoo: A Lift-the-Flap Book,Children'sBooks,2017_22,,,,,,,,,,,,,,,,,,,,,
323,2017,The Four Agreements: A Practical Guide to…,Religion&Spirituality,2017_23,,,,,,,,,,,,,,,,,,,,,
324,2017,The Going-To-Bed Book,Children'sBooks,2017_24,,,,,,,,,,,,,,,,,,,,,
325,2017,StrengthsFinder 2.0,Business&SelfHelp,2017_25,,,,,,,,,,,,,,,,,,,,,
326,2017,The Wonderful Things You Will Be,Children'sBooks,2017_26,,,,,,,,,,,,,,,,,,,,,
327,2017,The Shack: Where Tragedy Confronts Eternity,Literature&Fiction,2017_27,,,,,,,,,,,,,,,,,,,,,
328,2017,The Life-Changing Magic of Tidying Up: The…,CraftsHobbies&Home,2017_28,,,,,,,,,,,,,,,,,,,,,
329,2017,"Option B: Facing Adversity, Building Resilience,…",Business&SelfHelp,2017_29,,,,,,,,,,,,,,,,,,,,,
330,2017,Thug Kitchen: The Official Cookbook: Eat Like…,"Cookbooks,Food&Wine",2017_30,,,,,,,,,,,,,,,,,,,,,
331,2017,A Gentleman in Moscow,Literature&Fiction,2017_31,,,,,,,,,,,,,,,,,,,,,
332,2017,Publication Manual of the American…,Reference,2017_32,,,,,,,,,,,,,,,,,,,,,
333,2017,Goodnight Moon,Children'sBooks,2017_33,,,,,,,,,,,,,,,,,,,,,
334,2017,Thirteen Reasons Why,Literature&Fiction,2017_34,,,,,,,,,,,,,,,,,,,,,
335,2017,Leonardo da Vinci,Biographies&Memoirs,2017_35,,,,,,,,,,,,,,,,,,,,,
336,2017,The Pout-Pout Fish,Children'sBooks,2017_36,,,,,,,,,,,,,,,,,,,,,
337,2017,Harry Potter and the Prisoner of Azkaban: The…,Teen&Youngadult,2017_37,,,,,,,,,,,,,,,,,,,,,
338,2017,If Animals Kissed Good Night,Children'sBooks,2017_38,,,,,,,,,,,,,,,,,,,,,
339,2017,"Brown Bear, Brown Bear, What Do You See?",Children'sBooks,2017_39,,,,,,,,,,,,,,,,,,,,,
340,2017,Player's Handbook (Dungeons & Dragons),Literature&Fiction,2017_40,,,,,,,,,,,,,,,,,,,,,
341,2017,The Very Hungry Caterpillar,Children'sBooks,2017_41,,,,,,,,,,,,,,,,,,,,,
342,2017,Puppy Birthday to You! (Paw Patrol) (Little…,Children'sBooks,2017_42,,,,,,,,,,,,,,,,,,,,,
343,2017,Laugh-Out-Loud Jokes for Kids,Children'sBooks,2017_43,,,,,,,,,,,,,,,,,,,,,
344,2017,"Tools of Titans: The Tactics, Routines, and Habits…",Business&SelfHelp,2017_44,,,,,,,,,,,,,,,,,,,,,
345,2017,Milk and Vine: Inspirational Quotes From Classic…,Literature&Fiction,2017_45,,,,,,,,,,,,,,,,,,,,,
346,2017,Ready Player One,Literature&Fiction,2017_46,,,,,,,,,,,,,,,,,,,,,
347,2017,Dog Man: A Tale of Two Kitties: From the Creator…,Children'sBooks,2017_47,,,,,,,,,,,,,,,,,,,,,
348,2017,Obama: An Intimate Portrait,Politics&SocialSciences,2017_48,,,,,,,,,,,,,,,,,,,,,
349,2017,The 7 Habits of Highly Effective People:…,Business&SelfHelp,2017_49,,,,,,,,,,,,,,,,,,,,,
350,2017,Killers of the Flower Moon: The Osage Murders…,History,2017_50,,,,,,,,,,,,,,,,,,,,,
351,2017,The Care and Keeping of You: The Body Book for…,Children'sBooks,2017_51,,,,,,,,,,,,,,,,,,,,,
352,2017,Uninvited: Living Loved When You Feel Less…,Religion&Spirituality,2017_52,,,,,,,,,,,,,,,,,,,,,
353,2017,Big Little Lies,Literature&Fiction,2017_53,,,,,,,,,,,,,,,,,,,,,
354,2017,"The Official SAT Study Guide, 2018 Edition…",Reference,2017_54,,,,,,,,,,,,,,,,,,,,,
355,2017,The Whole30 Cookbook: 150 Delicious and…,"Cookbooks,Food&Wine",2017_55,,,,,,,,,,,,,,,,,,,,,
356,2017,"Thinking, Fast and Slow",Business&SelfHelp,2017_56,,,,,,,,,,,,,,,,,,,,,
357,2017,Jesus Calling: Enjoying Peace in His Presence…,Religion&Spirituality,2017_57,,,,,,,,,,,,,,,,,,,,,
358,2017,What to Expect When You're Expecting,Parenting&Relationships,2017_58,,,,,,,,,,,,,,,,,,,,,
359,2017,N/A,#N/A,2017_59,NoData,,,,,,,,,,,,,,,,,,,,
360,2017,The Great Gatsby,Literature&Fiction,2017_60,,,,,,,,,,,,,,,,,,,,,
361,2017,The Wisdom of Sundays: Life-Changing Insights…,Religion&Spirituality,2017_61,,,,,,,,,,,,,,,,,,,,,
362,2017,P is for Potty! (Sesame Street) (Lift-the-Flap),Children'sBooks,2017_62,,,,,,,,,,,,,,,,,,,,,
363,2017,The Rooster Bar,Literature&Fiction,2017_63,,,,,,,,,,,,,,,,,,,,,
364,2017,The Giving Tree,Literature&Fiction,2017_64,,,,,,,,,,,,,,,,,,,,,
365,2017,She Persisted: 13 American Women Who…,Children'sBooks,2017_65,,,,,,,,,,,,,,,,,,,,,
366,2017,On Tyranny: Twenty Lessons from the Twentieth…,History,2017_66,,,,,,,,,,,,,,,,,,,,,
367,2017,"The Alchemist, 25th Anniversary: A Fable About…",Religion&Spirituality,2017_67,,,,,,,,,,,,,,,,,,,,,
368,2017,Fahrenheit 451,Politics&SocialSciences,2017_68,,,,,,,,,,,,,,,,,,,,,
369,2017,Camino Island,Literature&Fiction,2017_69,,,,,,,,,,,,,,,,,,,,,
370,2017,Turtles All the Way Down,Teen&Youngadult,2017_70,,,,,,,,,,,,,,,,,,,,,
371,2017,The Gifts of Imperfection: Let Go of Who You…,Religion&Spirituality,2017_71,,,,,,,,,,,,,,,,,,,,,
372,2017,Love You Forever,Children'sBooks,2017_72,,,,,,,,,,,,,,,,,,,,,
373,2017,The Pioneer Woman Cooks: Come and Get It!:…,"Cookbooks,Food&Wine",2017_73,,,,,,,,,,,,,,,,,,,,,
374,2017,Mindset: The New Psychology of Success,Business&SelfHelp,2017_74,,,,,,,,,,,,,,,,,,,,,
375,2017,Where Is Baby's Belly Button? A Lift-the-Flap Book,Children'sBooks,2017_75,,,,,,,,,,,,,,,,,,,,,
376,2017,Grant,Biographies&Memoirs,2017_76,,,,,,,,,,,,,,,,,,,,,
377,2017,"Lunt Solar Systems Junior Size Premium CE & ISO Certified Eclipse Glasses, Pack of 4",N/A,2017_77,NonBook,,,,,,,,,,,,,,,,,,,,
378,2017,Sapiens: A Brief History of Humankind,Politics&SocialSciences,2017_78,,,,,,,,,,,,,,,,,,,,,
379,2017,The Intelligent Investor: The Definitive Book on…,Business&SelfHelp,2017_79,,,,,,,,,,,,,,,,,,,,,
380,2017,The Plant Paradox: The Hidden Dangers in…,HealthFitness&Dieting,2017_80,,,,,,,,,,,,,,,,,,,,,
381,2017,The Trials of Apollo Book Two The Dark…,Children'sBooks,2017_81,,,,,,,,,,,,,,,,,,,,,
382,2017,"Everything, Everything",Teen&Youngadult,2017_82,,,,,,,,,,,,,,,,,,,,,
383,2017,Start with Why: How Great Leaders Inspire…,Business&SelfHelp,2017_83,,,,,,,,,,,,,,,,,,,,,
384,2017,Norse Mythology,Literature&Fiction,2017_84,,,,,,,,,,,,,,,,,,,,,
385,2017,Beneath a Scarlet Sky,Literature&Fiction,2017_85,,,,,,,,,,,,,,,,,,,,,
386,2017,Dog Man Unleashed: From the Creator of…,Children'sBooks,2017_86,,,,,,,,,,,,,,,,,,,,,
387,2017,Lilac Girls,Literature&Fiction,2017_87,,,,,,,,,,,,,,,,,,,,,
388,2017,Harry Potter and the Sorcerer's Stone: The…,Teen&Youngadult,2017_88,,,,,,,,,,,,,,,,,,,,,
389,2017,"Magnus Chase and the Gods of Asgard, Book 3…",Children'sBooks,2017_89,,,,,,,,,,,,,,,,,,,,,
390,2017,"Al Franken, Giant of the Senate",Literature&Fiction,2017_90,,,,,,,,,,,,,,,,,,,,,
391,2017,Principles: Life and Work,Business&SelfHelp,2017_91,,,,,,,,,,,,,,,,,,,,,
392,2017,Daring Greatly: How the Courage to Be…,Business&SelfHelp,2017_92,,,,,,,,,,,,,,,,,,,,,
393,2017,The Complete Ketogenic Diet for Beginners: Your…,"Cookbooks,Food&Wine",2017_93,,,,,,,,,,,,,,,,,,,,,
394,2017,Pokémon Deluxe Essential Handbook: The Need…,Reference,2017_94,,,,,,,,,,,,,,,,,,,,,
395,2017,10-Day Green Smoothie Cleanse,"Cookbooks,Food&Wine",2017_95,,,,,,,,,,,,,,,,,,,,,
396,2017,The Total Money Makeover: Classic Edition: A…,Business&SelfHelp,2017_96,,,,,,,,,,,,,,,,,,,,,
397,2017,Dragons Love Tacos,Children'sBooks,2017_97,,,,,,,,,,,,,,,,,,,,,
398,2017,Harry Potter Paperback Box Set (Books 1-7),Teen&Youngadult,2017_98,,,,,,,,,,,,,,,,,,,,,
399,2017,Killing England: The Brutal Struggle for…,History,2017_99,,,,,,,,,,,,,,,,,,,,,
400,2017,"Rosie Revere, Engineer",Children'sBooks,2017_100,,,,,,,,,,,,,,,,,,,,,
