num,year,title,publisher,mother company,is Global 50,year merged to Global 50
1,2020,TooMuchandNeverEnoughHowMyFamily,Simon & Schuster,Simon & Schuster,O,
2,2020,WheretheCrawdadsSing,G.P. Putnam's Sons,Pearson,O,
3,2020,MyFirstLearntoWriteWorkbookPracticefor,Rockridge Press,Rockridge Press,X,
4,2020,MidnightSun,Little Brown Books for Young Readers ,Hachette Livre,O,
5,2020,Untamed,The Dial Press ,Pearson,O,
6,2020,TheRoomWhereItHappenedAWhiteHouse,Simon & Schuster,Simon & Schuster,O,
7,2020,WhiteFragilityWhyIt'sSoHardforWhite,Beacon Press,Beacon Press,X,
8,2020,SchoolZone-BigPreschoolWorkbook-Ages4,School Zone Publishing,School Zone Publishing,X,
9,2020,IfAnimalsKissedGoodNight,Farrar Straus and Giroux ,Holtzbrinck,O,
10,2020,TheBalladofSongbirdsandSnakesAHunger,Scholastic Press ,Scholastic (corp.),O,
11,2020,HowtoBeanAntiracist,One World,One World,X,
12,2020,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
13,2020,Rage,Simon & Schuster,Simon & Schuster,O,
14,2020,LittleFiresEverywhere,Penguin Books,Pearson,O,
15,2020,DogManGrimeandPunishmentFromthe,Graphix,Scholastic Corp.,O,
16,2020,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
17,2020,Becoming,Crown,Pearson,O,
18,2020,AmericanDirtOprah'sBookClub,Flatiron Books ,Holtzbrinck,O,
19,2020,GiraffesCan'tDance,Cartwheel Books,Scholastic Corp.,O,
20,2020,MagnoliaTableVolume2ACollectionof,HarperCollinsPublishers,HarperCollins,O,
21,2020,LiveFreeOrDieAmericaandtheWorldonthe,Threshold Editions ,Simon & Schuster,O,
22,2020,TheSplendidandtheVileASagaofChurchill,Crown ,Pearson,O,
23,2020,The5LoveLanguagesTheSecrettoLovethat,Northfield Publishing,Moody Bible Institute,X,
24,2020,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR),Holtzbrinck,O,
25,2020,TheBodyKeepstheScoreBrainMindandBody,Penguin Books,Pearson,O,
26,2020,HowtoCatchaMermaid,Sourcebooks Wonderland ,Sourcebooks Wonderland ,X,
27,2020,TheSilentPatient,Celadon Books,Holtzbrinck,O,
28,2020,CasteOprah'sBookClubTheOriginsofOur,Random House ,Pearson,O,
29,2020,AtomicHabitsAnEasy&ProvenWaytoBuild,Genius Press ,Genius Press ,X,
30,2020,IAmConfidentBrave&BeautifulAColoring,Hopscotch Girls,Hopscotch Girls,X,
31,2020,HumanBodyActivityBookforKidsHands-On,Rockridge Press ,Rockridge Press ,X,
32,2020,GetOutofYourHeadStoppingtheSpiralof,WaterBrook,Pearson,O,
33,2020,TheBigBookofSillyJokesforKids800+Jokes,Rockridge Press ,Rockridge Press ,X,
34,2020,BurnAfterWriting,TarcherPerigee ,Pearson,O,
35,2020,TheBoytheMoletheFoxandtheHorse,HarperOne,HarperCollins,O,
36,2020,PaintbyStickerKidsUnicorns&MagicCreate,Workman Publishing Company,Workman Publishing Company,X,
37,2020,ILoveYoutotheMoonandBack,Tiger Tales,Tiger Tales,X,
38,2020,JustMercyAStoryofJusticeandRedemption,One World,One World,X,
39,2020,ChickaChickaBoomBoomBoardBook,Little Simon ,Simon & Schuster,O,
40,2020,EducatedAMemoir,Random House,Pearson,O,
41,2020,HowtoCatchaUnicorn,Sourcebooks Wonderland ,Sourcebooks Wonderland ,X,
42,2020,RichDadPoorDadWhattheRichTeachTheir,Plata Publishing,Plata Publishing,X,
43,2020,DisloyalAMemoirTheTrueStoryoftheFormer,Skyhorse Publishing,Skyhorse Publishing,X,
44,2020,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
45,2020,TheWonkyDonkey,Scholastic Paperbacks,Scholastic Corp.,O,
46,2020,PrayerJournalforWomen52WeekScripture,Independently published ,Independently published ,X,
47,2020,GoodnightMoon,HarperCollins,HarperCollins,O,
48,2020,ThenSheWasGone,Atria Books,Simon & Schuster,O,
49,2020,I'veLovedYouSinceForever,HarperCollins,HarperCollins,O,
50,2020,SoYouWanttoTalkAboutRace,Seal Press,Hachette Livre,O,
51,2020,WhatShouldDannyDoThePowertoChoose,Elon Books,Elon Books,X,
52,2020,TheVanishingHalf,Riverhead Books ,Pearson,O,
53,2020,MyFirstToddlerColoringBookFunwith,Rockridge Press,Rockridge Press,X,
54,2020,1984SignetClassics,Signet Classic ,Pearson,O,
55,2020,StampedfromtheBeginningTheDefinitive,Bold Type Books,Hachette Livre,O,
56,2020,ToKillaMockingbird,Harper Perennial ,HarperCollins,O,
57,2020,PreschoolMathWorkbookforToddlersAges2-4,Modern Kid Press ,Modern Kid Press ,X,
58,2020,TheMambaMentalityHowIPlay,MCD,Holtzbrinck,O,
59,2020,SchoolZone-Multiplication0-12FlashCards,School Zone Publishing,School Zone Publishing,X,
60,2020,TheAlchemist25thAnniversaryAFableAbout,HarperOne,HarperCollins,O,
61,2020,RelationshipGoalsHowtoWinatDating,WaterBrook,Pearson,O,
62,2020,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Pearson,O,
63,2020,AwesomeScienceExperimentsforKids100+,Rockridge Press ,Rockridge Press,X,
64,2020,TheColorofLawAForgottenHistoryofHow,Liveright,W.W. Norton,X,
65,2020,PaintbyStickerKidsZooAnimalsCreate10,Workman Publishing Company,Workman Publishing Company,X,
66,2020,CarsonDellosa|FirstWordsFlashCards|,Carson Dellosa Education,Carson Dellosa Education,X,
67,2020,LearntoReadAMagicalSightWordsand,Modern Kid Press ,Modern Kid Press ,X,
68,2020,FirstLittleReadersParentPackGuidedReading,Teaching Resources,Teaching Resources,X,
69,2020,LlamaLlamaLovesCamping,Penguin Young Readers Licenses,Pearson,O,
70,2020,ThePout-PoutFish,Farrar Straus and Giroux ,Holtzbrinck,O,
71,2020,Man'sSearchforMeaning,Beacon Press,Beacon Press,X,
72,2020,TheWonderfulThingsYouWillBe,Random House Books for Young Readers,Pearson,O,
73,2020,DogManFetch-22FromtheCreatorofCaptain,Graphix,Scholastic Corp.,O,
74,2020,Where'sSpot,Warner,Warner,X,
75,2020,LoveYouForever,Firefly Books ,Firefly Books,X,
76,2020,PisforPottySesameStreetLift-the-Flap,Random House Books for Young Readers,Pearson,O,
77,2020,TheGiftsofImperfectionLetGoofWhoYou,Brilliance Audio,,X,
78,2020,NormalPeople,Hogarth,Pearson,O,
79,2020,TheOutsiders,Speak,Pearson,O,
80,2020,MagnoliaTableACollectionofRecipesfor,William Morrow Cookbooks,HarperCollins,O,
81,2020,TheSubtleArtofNotGivingaF*ckA,Harper,HarperCollins,O,
82,2020,TheGiverofStars,Pamela Dorman Books,Pearson,O,
83,2020,MedicalMediumCleansetoHealHealingPlans,Hay House Inc.,Hay House Inc.,X,
84,2020,KindergartenMathWorkbookKindergartenand,IXL Learning ,IXL Learning ,X,
85,2020,ZenasF*ckZenasF*ckJournals,Castle Point Books ,Holtzbrinck,O,
86,2020,TheIntelligentInvestorTheDefinitiveBookon,Harper Business,HarperCollins,O,
87,2020,BlackoutHowBlackAmericaCanMakeIts,Threshold Editions ,Simon & Schuster,O,
88,2020,GodGaveUsYou,WaterBrook Press,Pearson,O,
89,2020,ModernComfortFoodABarefootContessa,Clarkson Potter,Pearson,O,
90,2020,TheDeepEndDiaryofaWimpyKidBook15,Harry N. Abrams,La Martinière Groupe,O,
91,2020,Greenlights,Crown,Pearson,O,
92,2020,APromisedLand,Crown ,Pearson,O,
93,2020,There'sNoPlaceLikeSpaceAllAboutOurSolar,Random House Books for Young Readers,Pearson,O,
94,2020,BetweentheWorldandMe,One World,One World,X,
95,2020,TheGivingTree,Harper & Row,HarperCollins,O,
96,2020,Fahrenheit451,Simon & Schuster,Simon & Schuster,O,
97,2020,TheCareandKeepingofYouTheBodyBookfor,American Girl,American Girl,X,
98,2020,RoomontheBroom,Puffin Books,Pearson,O,
99,2020,WheretheWildThingsAre,HarperCollins,HarperCollins,O,
100,2020,TheOneandOnlyIvan,HarperCollins,HarperCollins,O,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,